tweet_id	tweet_time	tweet_text	tweet_coordinates	lat_origin	long_origin	uber_estimate
831284417876291584	2017-02-13 18:30:24-05:00	"Can you recommend anyone for this #job? Manager, Marketing Communications - https://t.co/ZCWErxVm4D #NASCAR #DreamJob #Charlotte, NC"	[35.2270869, -80.8431267]	35.2270869	-80.8431267	36.0
831284469596307456	2017-02-13 18:30:36-05:00	"4 bed, 2.5 bath + deck and great backyard with plenty of room to grow and make all your own. #jghomesinc\u2026 https://t.co/vZw0EwlNRm"	[34.7682521, -77.3792492]	34.7682521	-77.3792492	44.0
831284971616743424	2017-02-13 18:32:36-05:00	"Yesssss #KeithPowers yesssss #BadBoys2 #MartinLawrence #WillSmith @ Georgia-South Carolina State\u2026 https://t.co/ad4LJvNGek"	[32.32471179, -81.05595]	32.32471179	-81.05595	63.0
831284984950452225	2017-02-13 18:32:39-05:00	"All that assss @iamjzapal  \ud83d\ude29\ud83d\ude0d#juicegodapproved \ud83d\udca6\ud83d\udca6\ud83d\udca6\ud83d\ude0d#everybodywantthejuice #shegotthejuice\u2026 https://t.co/oTzlUVYVpx"	[35.0547, -80.8502]	35.0547	-80.8502	56.0
831285010116251648	2017-02-13 18:32:45-05:00	"Hoping for a @hornets win tonight at the hive with #Lexicate\u2026 https://t.co/ESZlVv3dPr"	[35.22531608, -80.83934702]	35.22531608	-80.83934702	36.0
831291237961433088	2017-02-13 18:57:30-05:00	"Full install with silk closure ! \n\nBook Now! \n\nhttps://t.co/wnsWw8ASRI\n\nGlam Headz Salon\n8929 J M\u2026 https://t.co/8Fzvkecddt"	[35.3094974, -80.7483239]	35.3094974	-80.7483239	37.0
831291422556971008	2017-02-13 18:58:14-05:00	"Cumin-Crusted Pork with Fig &amp; Blood Orange Pan Sauce #blueapron @ Walnut Creek https://t.co/Q0WM3l8G85"	[34.93033651, -80.79164948]	34.93033651	-80.79164948	28.0
831291729043132416	2017-02-13 18:59:27-05:00	"Looking in the mirror and I'm feelin' like schwarzenegger\u2026 https://t.co/ybksu6uroR"	[35.2954624, -80.74004208]	35.2954624	-80.74004208	33.0
831291766154395650	2017-02-13 18:59:36-05:00	"I'm at Uncle Maddio\u2019s Pizza Joint in Charlotte, NC https://t.co/fYVzvwRzlf"	[35.21188681, -80.83389401]	35.21188681	-80.83389401	26.0
831291871695630337	2017-02-13 19:00:01-05:00	"@OKnox I see what you did there."	[34.94406615, -81.03533369]	34.94406615	-81.03533369	25.0
831291913584132097	2017-02-13 19:00:11-05:00	"@hornets game with Jack! #theparrottcrew #buzzcity @ Spectrum Center https://t.co/6k11qXuFqH"	[35.22535063, -80.83954804]	35.22535063	-80.83954804	27.0
831292074544607232	2017-02-13 19:00:49-05:00	"#macncheese #foodie #pamperedchef #rockcrock   #beach #myhappyplace #bft #homemade\u2026 https://t.co/8IZis00fFN"	[32.61145131, -80.74720204]	32.61145131	-80.74720204	46.0
831292152378429440	2017-02-13 19:01:08-05:00	"Charleston Charm.  #charlestonsc#charlestonstyle#fountain#historiccharleston#southcarolina @\u2026 https://t.co/AtBlMYxToY"	[32.785556, -79.936944]	32.785556	-79.936944	67.0
831292229239062528	2017-02-13 19:01:26-05:00	"#galentinesday gift from @donnachronicles before rehearsal! #cltarts #theatrefamily\u2026 https://t.co/rprkdpAS8e"	[35.2154633, -80.85619227]	35.2154633	-80.85619227	33.0
831292280115916800	2017-02-13 19:01:38-05:00	"See our latest #Mooresboro, NC #job and click to apply: Certified Nursing Assistant - CNA - https://t.co/mvhTXfLRXB #Nursing #Hiring"	[35.2987362, -81.6989863]	35.2987362	-81.6989863	-1
